"Achillea.millefolium","Achnatherum.sp.","Agoseris.sp.","Androsace.septentrionales","Anemone.multifida","Aquilegia.coerulea","Artemisia.dracunculus","Astragalus.alpinus","Boechera.stricta","Botrychium.sp.","Bromus.inermis","Campanula.petiolata","Carex.sp...obtusata..geyeri.","Carex.pityophila","Carex.sp...chalciolepis..ebenea..egglestonii..hoodii.","Castilleja.septentrionalis","Chenopodium.atrovirens","Cirsium.griseum","Cymopterus.lemmonii","Dactylis.glomerata","Danthonia.parryi","Delphinium.barbeyi","Delphinium.nuttalianum","Deschampsia.cespitosa","Draba.spectabilis","Elymus.lanceolatus","Eremogone.congesta","Erigeron.coulteri","Erigeron.leiomerus","Erigeron.speciosus","Erigeron.subtrinervis","Eriogonum.umbellatum.majus","Fragaria.virginiana","Frasera.speciosa","Galium.boreale","Gentiana.parryi","Helianthella.quinquenerva","Heterotheca.sp.","Hymenoxys.hoopesii","Ipomopsis.aggregata","Lathyrus.lanszwertii","Lomatium.triternatum","Lupinus.argenteus","Maianthemum.stellatum","Mertensia.brevistyla","Moehringia.sp.","Noccaea.fendleri","Oreochrysum.parryi","Phleum.alpinum","Poa.alpina","Poa.compressa","Poa.fendleriana","Poa.pratensis","Polygonum.sp.","Populus.balsamifera","Potentilla.glaucophylla","Potentilla.pulcherrima","Pyrrocoma.crocea","Sedum.lanceolatum","Senecio.crassulus","Sibbaldia.procumbens","Solidago.multiradiata","Silene.drummondii","Solidago.multiradiata.1","Taraxacum.officinale","Thalictrum.fendleri","Trisetum.canescens","Trisetum.spicatum","Valeriana.edulis","Valeriana.occidentalis","Vicia.americana","Viola.adunca","species","Agastache.urticifolia","Amelanchier.alnifolia","Antennaria.parvifolia","Arctostaphylos.uva.ursi","Artemisia.tridentada","Berberis.repens","Bromus.frondosus","Calochortus.gunnisonii","Carex.sp.","Castilleja.linariifolia","Collomia.linearis","Crepis.sp.","Dactylus.glomeratus","Delphinum.nuttalliianum","Elymus.elymoides","Elymus.trachycaulus","Elymus.glaucus","Erigeron.flagellaris","Erigeron.sp.","Eriogonum.umbellatum.aureum","Festuca.rubra","Festuca.thurberi","Galium.bifolium","Gayophytum.sp.","Helianthella.quinquenervis","Heliomerus.multiflora","Hydrophyllum.capitatum","Ipomopsis.aggregatta","Juniperus.communis","Koeleria.macrantha","Linum.lewisii","Lomatium.dissectum","Lupinus.sp.","Paxistima.myrsinites","Phacelia.sp.","Poa.sp.","Populus.tremuloides","Potentilla.hippiana","Rosa.woodsii","Senecio.pudicus","Senecio.integerrimus","Symphoricarpos.rotundifolius","Viola.praemorsa","Wyethia.amplexicaulis","Stipeae","Agoseris.glauca","Allium.geyeri","Antennaria.parviflora","Artemisia.arbuscula","Artemisia.tridentata","Asteraceae","Astragalus.drummondii","Astragalus.miser","Balsamorhiza.sagittata","Boechera.consanguinea","Caryophyllaceae","Castilleja.chromosa","Chrysothamnus.depresus","Chrysothamnus.vaseyi","Chrysothamnus.viscidiflorus","Cyrtorhyncha.ranunculina","Delphinium.nuttallianum","Eremegone.congesta","Erigeron.eatonii","Eriogonum.racemosum","Eriogonum.umbellatum","Lupinus.polyphyllus","Pediocactus.simpsonii","Penstemon.caespitosus","Penstemon.strictus","Phlox.multiflora","Pulsatilla.nuttalliana","Taraxacum.officianale","Wyethia.x.magna"
0.01,0,0.03,0,0.01,0,0,0,0.03,0,0,0,0,0,0.1,0.04,0,0.12,0,0,0,0,0,0.04,0.01,0.04,0,0.08,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.05,0,0,0,0,0,0.06,0,0,0,0,0,0,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0,0.04,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.03,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.1,0,0,0,0,0.08,0.1,0,0,0,0,0,0,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0.05,0,0.04,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.08,0.01,0.06,0,0.04,0.08,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0.06,0,0,0,0,0.06,0,0,0,0,0,0,0,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.03,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.01,0,0,0,0.2,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.04,0,0,0,0,0.06,0,0,0,0,0,0,0,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.05,0,0.04,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.05,0,0,0,0,0.02,0,0,0,0,0,0,0.08,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,0,0.04,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.01,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.03,0,0,0,0,0,0.08,0,0,0,0,0,0,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.01,0,0.06,0,0,0,0,0,0,0,0,0,0.1,0.05,0,0,0,0,0,0,0,0.05,0.01,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.02,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.15,0.01,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0.08,0,0.18,0,0,0,0,0,0.03,0.01,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,0,0.03,0,0.04,0,0,0,0,0,0,0,0,0,0.05,0.12,0,0,0,0,0,0,0,0.08,0.01,0,0,0.04,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0.04,0,0,0,0,0.06,0,0,0,0,0,0,0,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,0,0.08,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.01,0,0,0.02,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0.15,0,0,0,0,0.02,0,0,0,0,0,0,0,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0,0.01,0,0.05,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.1,0.01,0.04,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.02,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0.12,0,0,0.06,0,0,0,0,0.04,0,0,0,0,0,0,0,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.04,0.03,0,0,0,0,0.03,0,0,0.2,0.02,0.05,0,0.05,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0.02,0,0,0,0,0.23,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.01,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.15,0.02,0.04,0,0.02,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.02,0,0,0,0,0.18,0,0,0.11,0,0,0,0,0.04,0.02,0,0,0,0,0,0,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0.03,0.09,0,0,0,0,0,0,0,0.08,0.03,0.01,0,0.03,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.02,0.03,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0.05,0.005,0,0,0,0,0,0,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0,0.01,0,0.03,0.17,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0.02,0.03,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.01,0,0,0,0,0,0,0.1,0,0,0.05,0,0,0,0,0.11,0,0,0,0,0,0,0,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.02,0,0,0,0,0.01,0,0,0.08,0.01,0,0,0.03,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.1,0,0,0.08,0,0,0,0,0.06,0.04,0,0,0,0,0,0.01,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0.01,0.005,0.07,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.11,0.01,0.04,0,0.04,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.08,0,0,0.09,0,0,0,0,0,0,0.03,0,0,0,0,0.02,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.02,0,0.02,0,0,0,0.01,0,0,0,0,0,0.04,0.08,0,0,0,0,0,0,0,0.09,0.005,0,0,0.05,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.26,0,0,0.1,0,0,0,0,0.09,0,0.005,0,0,0,0,0.01,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0.03,0,0.09,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.02,0.01,0,0.05,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0.02,0.07,0,0,0,0,0,0,0.2,0,0,0.09,0,0,0,0,0.06,0,0.03,0,0,0,0,0.01,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12,0,0.02,0,0.07,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.11,0.01,0.03,0,0.01,0.2,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.14,0,0,0.01,0,0,0,0,0.05,0,0.01,0,0,0,0,0,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0,0.02,0,0.04,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.01,0,0,0,0.35,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.17,0,0,0.01,0,0,0,0,0.04,0,0,0,0,0,0,0,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0,0.04,0,0.03,0,0,0,0,0,0,0,0,0,0.02,0.11,0,0.04,0,0,0,0,0,0.05,0.01,0.01,0,0.01,0.28,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0.15,0,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0.03,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03,0,0.02,0,0.05,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.03,0,0.02,0,0,0.17,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.07,0,0,0.01,0,0,0,0,0.01,0.01,0,0,0,0,0,0.02,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0,0.01,0,0,0,0,0,0.005,0,0,0,0,0,0,0.07,0,0.02,0,0,0,0,0,0.12,0.01,0.04,0,0.02,0,0,0,0,0.23,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.02,0.04,0.06,0,0,0,0,0,0,0,0.14,0,0,0.09,0,0,0,0,0.01,0.03,0,0,0,0,0,0.01,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.03,0.005,0.02,0,0.03,0,0,0,0,0.1,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0.05,0.28,0.01,0,0,0,0,0,0,0.02,0.06,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.02,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.07,0,0.03,0,0,0,0,0,0.1,0.01,0.04,0,0.02,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0,0.18,0,0,0.05,0,0,0,0,0.04,0,0,0,0,0,0,0.04,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.01,0.03,0,0.05,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.03,0,0,0,0,0,0,0.04,0.12,0,0,0.07,0,0,0,0,0.03,0,0,0,0,0,0,0,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07,0,0,0,0.04,0,0,0,0.005,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0.12,0.01,0.04,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0,0,0,0,0,0,0,0.12,0,0,0.03,0,0,0,0,0.05,0,0.005,0,0.06,0,0,0,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0,0,0.01,0.03,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0.03,0.02,0.02,0,0.05,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.01,0,0,0,0,0,0,0,0.13,0,0,0.07,0,0,0,0,0.02,0,0,0,0.04,0,0,0.005,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0.01,0,0.03,0,0,0,0,0,0,0,0,0,0.11,0.08,0,0,0,0,0,0,0,0.03,0.01,0.01,0,0.03,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0.04,0,0,0,0,0,0.04,0.16,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.02,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0,0.01,0.005,0.04,0,0,0,0.01,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.03,0.01,0,0,0.01,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0.01,0.2,0,0,0.03,0,0,0,0,0.07,0,0,0,0,0,0,0,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,0,0.01,0,0.09,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0.07,0.01,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.25,0,0,0.1,0,0,0,0,0.02,0,0.01,0,0,0,0,0.02,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03,0,0.02,0.005,0.11,0,0,0,0.01,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0.02,0.01,0.01,0,0.01,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.12,0,0,0,0,0,0,0.02,0,0,0,0,0.01,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0.03,0.05,0,0.03,0,0,0,0,0,0.12,0.01,0.08,0,0.01,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.1,0,0,0.14,0,0,0,0,0.08,0,0,0,0,0,0,0.02,"C. septentrionalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
